time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.73,  0.457777 -0.0315669   0.364671, 3.75265 -6.54583  31.2321, 0.764121  0.411797 0.0497321,   0.840711 -0.00910841   0.0053965,  0.249978 0.00305038  0.0188038,    0.26747   -0.321347 -0.00463695,0 0 0,-47.0607  59.3553  283.996,0 0 0,-55.5042  180.307  575.295
0.74,0.463854 -0.02692 0.363764, 3.10779 -6.40092  31.9727, 0.774131  0.416943 0.0410335,   0.840711 -0.00910841   0.0053965,   0.264141 -0.00119001   0.0128865,    0.26747   -0.321347 -0.00463695,0 0 0,-36.9936  16.6685  248.131,0 0 0,-50.0618   175.14  576.074
0.75,  0.469683 -0.0216537   0.363669, 2.38771 -6.21731  32.7239, 0.782912  0.421454 0.0331287,   0.840711 -0.00910841   0.0053965,  0.276574 -0.0049052 0.00750917,    0.26747   -0.321347 -0.00463695,0 0 0,-27.2749 -8.21359  199.958,0 0 0,-41.3065  151.966  509.401
0.76,  0.475304 -0.0158714   0.364089, 1.60561 -6.00046  33.4836, 0.790351  0.425275 0.0262161,   0.840711 -0.00910841   0.0053965,   0.287112 -0.00804883  0.00280683,    0.26747   -0.321347 -0.00463695,0 0 0,-18.4703 -17.9216  145.666,0 0 0,-30.6227  116.676      396
0.77,    0.48076 -0.00967658    0.364725,0.774736 -5.75586  34.2494, 0.796335  0.428346 0.0204942,   0.840711 -0.00910841   0.0053965,   0.295593  -0.0105746 -0.00108555,    0.26747   -0.321347 -0.00463695,0 0 0,-10.9601 -17.2049  91.8894,0 0 0,-19.5802  76.5528  262.116
0.78,   0.486092 -0.00317264    0.365283,-0.0916993   -5.48897    35.0191,  0.80075  0.430611 0.0161614,   0.840711 -0.00910841   0.0053965,   0.301853   -0.012436 -0.00403295,    0.26747   -0.321347 -0.00463695,0 0 0,-5.12474 -10.8129   45.263,0 0 0,-9.74892   38.878  133.992
0.79,  0.491341 0.00353702   0.365463,-0.980469  -5.20529   35.7906, 0.803483  0.432012 0.0134162,   0.840711 -0.00910841   0.0053965,   0.305729  -0.0135869 -0.00590039,    0.26747   -0.321347 -0.00463695,0 0 0,-1.34458 -3.49477  12.4215,0 0 0,-2.69889  10.9331   37.872
0.8, 0.49655 0.010349 0.364969,-1.87835 -4.91027  36.5616,0.804419 0.432492 0.012457,   0.840711 -0.00910841   0.0053965,   0.307057  -0.0139808 -0.00655287,    0.26747   -0.321347 -0.00463695,0 0 0,2.13163e-14 1.13687e-13           0,0 0 0,-2.84217e-14  5.68434e-14            0
0.81,  0.50176 0.0171679  0.363608,  -2.772 -4.61053  37.3292,0.804419 0.432492 0.012457,   0.841729 -0.00797599  0.00653357,   0.307057  -0.0139808 -0.00655287,   0.269011   -0.320851 -0.00422256,0.0789718   -2.1763   21.5119,0 0 0, 4.12536 -3.63941  49.5263,0 0 0
0.82, 0.507015 0.0239317  0.361601,-3.64761 -4.31711  38.0877,0.804419 0.432492 0.012457,   0.844702 -0.00466707  0.00978792,   0.307057  -0.0139808 -0.00655287,   0.273507   -0.319399 -0.00303653,0.483764 -8.50536   76.933,0 0 0, 15.0056 -12.7204  173.712,0 0 0
0.83,  0.51236 0.0305872  0.359271,-4.49127 -4.04217  38.8309,0.804419 0.432492 0.012457,   0.849506 0.000685789   0.0149243,   0.307057  -0.0139808 -0.00655287,   0.280763   -0.317049 -0.00116461, 1.46619 -18.6875  152.591,0 0 0,  30.397 -24.4873  335.966,0 0 0
0.84, 0.517838 0.0370808  0.356939,-5.28906 -3.79789  39.5522,0.804419 0.432492 0.012457,  0.856017 0.00795005  0.0217075,   0.307057  -0.0139808 -0.00655287,  0.290588  -0.313856 0.00130748, 3.27807 -32.4228  234.815,0 0 0, 48.0558 -36.1843  499.698,0 0 0
0.85, 0.523494 0.0433592  0.354927,-6.02707 -3.59644  40.2454,0.804419 0.432492 0.012457, 0.864113 0.0169932 0.0299022,   0.307057  -0.0139808 -0.00655287,  0.302789  -0.309877 0.00429398, 6.17122 -49.4118  309.931,0 0 0, 65.7382 -45.0556  628.318,0 0 0
0.86, 0.529372 0.0493691  0.353559,-6.69137 -3.44998  40.9041,0.804419 0.432492 0.012457, 0.873669 0.0276826 0.0392732,   0.307057  -0.0139808 -0.00655287,  0.317174   -0.30517 0.00770917, 10.3975 -69.3545  364.269,0 0 0, 81.2005 -48.3454  685.236,0 0 0
0.87, 0.535516 0.0550571  0.353156,-7.26804 -3.37068   41.522,0.804419 0.432492 0.012457, 0.884561 0.0398858 0.0495852,   0.307057  -0.0139808 -0.00655287,  0.33355 -0.299789 0.0114673, 16.0082 -91.4331  386.437,0 0 0,92.375 -43.99 642.65,0 0 0
0.88, 0.541971 0.0603699   0.35404,-7.74318 -3.37071  42.0926,0.804419 0.432492 0.012457, 0.896667 0.0534702  0.060603,   0.307057  -0.0139808 -0.00655287, 0.351723 -0.293792 0.0154826,20.5751  -108.7 396.476,0 0 0, 99.9724 -39.0474  589.057,0 0 0
0.89, 0.548779 0.0652539  0.356533,-8.10287 -3.46223  42.6097,0.804419 0.432492 0.012457, 0.909863 0.0683032 0.0720912,   0.307057  -0.0139808 -0.00655287, 0.371502 -0.287235 0.0196695,23.3153 -119.06   402.5,0 0 0, 104.531 -36.0819  556.902,0 0 0
0.9,0.555987 0.069656 0.360958,-8.33318 -3.65742  43.0669,0.804419 0.432492 0.012457, 0.924025 0.0842525 0.0838148,   0.307057  -0.0139808 -0.00655287, 0.392694 -0.280175  0.023942, 24.2287 -122.514  404.508,0 0 0,  106.05 -35.0933  546.184,0 0 0
0.91, 0.563622 0.0735403  0.367532,-8.42491  -3.9645  43.4598,0.804419 0.432492 0.012457,  0.93903  0.101185 0.0955383,   0.307057  -0.0139808 -0.00655287, 0.415107 -0.272667 0.0282146,23.3153 -119.06   402.5,0 0 0, 104.531 -36.0819  556.902,0 0 0
0.92, 0.571656 0.0769421  0.376043,-8.38773 -4.37588  43.7928,0.804419 0.432492 0.012457,0.954754 0.118969 0.107027,   0.307057  -0.0139808 -0.00655287, 0.438547  -0.26477 0.0324014,20.5751  -108.7 396.476,0 0 0, 99.9724 -39.0474  589.057,0 0 0
