time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.67,0.492346  0.14249 0.377565, 17.6919 0.301825 -20.9029, 0.889778  0.389969 0.0818736,   0.821115  -0.0254404 -0.00537076, 0.337233  0.552326 0.0977677,  0.119895   0.165279 -0.0160774,0 0 0,-73.7676  136.979  740.524,0 0 0, 69.8801 -38.0791  634.323
0.68,0.505255 0.144586 0.368286, 18.1491 0.367328 -21.4163, 0.912648  0.399546 0.0652361,   0.821115  -0.0254404 -0.00537076, 0.367132  0.566294 0.0888262,  0.119895   0.165279 -0.0160774,0 0 0,-76.5481  171.612  626.869,0 0 0, 68.1234 -29.2385  518.557
0.69,0.518134 0.147163 0.360633, 18.4644 0.467738 -21.8119, 0.934627  0.408823 0.0478881,   0.821115  -0.0254404 -0.00537076, 0.395965  0.579655 0.0795028,  0.119895   0.165279 -0.0160774,0 0 0,-78.2165  192.391  558.676,0 0 0, 67.0693 -23.9341  449.098
0.7,0.530977  0.15028 0.354931,   18.62 0.606559 -22.0748,  0.95555  0.417719 0.0301849,   0.821115  -0.0254404 -0.00537076,   0.4235   0.59232 0.0699885,  0.119895   0.165279 -0.0160774,0 0 0,-78.7726  199.318  535.945,0 0 0, 66.718 -22.166 425.945
0.71,0.543783 0.153976 0.351398,  18.604 0.786065 -22.1952, 0.975256  0.426152 0.0124816,   0.821115  -0.0254404 -0.00537076, 0.449508    0.6042 0.0604741,  0.119895   0.165279 -0.0160774,0 0 0,-78.2165  192.391  558.676,0 0 0, 67.0693 -23.9341  449.098
0.72,0.556554 0.158213 0.349816, 18.4286  1.00365 -22.1831,   0.993581    0.434041 -0.00486637,   0.821115  -0.0254404 -0.00537076, 0.473758  0.615206 0.0511507,  0.119895   0.165279 -0.0160774,0 0 0,-76.5481  171.612  626.869,0 0 0, 68.1234 -29.2385  518.557
0.73,0.569295 0.162931 0.349859, 18.1122  1.25548 -22.0535,   1.01036   0.441306 -0.0215039,   0.821115  -0.0254404 -0.00537076, 0.496019   0.62525 0.0422092,  0.119895   0.165279 -0.0160774,0 0 0,-73.7676  136.979  740.524,0 0 0, 69.8801 -38.0791  634.323
0.74,0.582009 0.168068 0.351201, 17.6729  1.53773 -21.8211,   1.02543   0.447865 -0.0370756,   0.821115  -0.0254404 -0.00537076,  0.51606  0.634243 0.0338404,  0.119895   0.165279 -0.0160774,0 0 0,-68.5589  93.9946  848.265,0 0 0, 69.9093 -47.0063  747.423
0.75,0.594701 0.173566 0.353517, 17.1292  1.84659 -21.5012,   1.03863   0.453637 -0.0512264,   0.821115  -0.0254404 -0.00537076, 0.533651  0.642096 0.0262353,  0.119895   0.165279 -0.0160774,0 0 0,-57.7751   59.947  807.375,0 0 0, 61.7831 -46.3295  721.158
0.76,0.607373 0.179365  0.35648, 16.4991  2.17822 -21.1085,    1.0498   0.458541 -0.0636009,   0.821115  -0.0254404 -0.00537076,  0.54856   0.64872 0.0195848,  0.119895   0.165279 -0.0160774,0 0 0,-43.4815  34.9569  656.434,0 0 0, 48.0115 -38.4101  590.895
0.77, 0.62003 0.185404 0.359765,15.8011  2.5288 -20.658,   1.05877   0.462497 -0.0738439,   0.821115  -0.0254404 -0.00537076, 0.560558  0.654026 0.0140799,  0.119895   0.165279 -0.0160774,0 0 0,-28.1176  17.7455  447.833,0 0 0, 31.7711 -26.5327  405.139
