time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.58,   0.28051 -0.0914099   0.541666,  7.08931 -0.366139  -6.91254, 0.610099 0.0676542  0.185796, 0.658262 -0.338613 0.0064141,-0.0623919   0.135165   0.180606,-0.0132621  -0.223812 0.00657239,0 0 0,0 0 0,0 0 0,0 0 0
0.59,  0.288525 -0.0963742   0.531834,   7.9695 -0.371601  -7.24516, 0.631539 0.0579425  0.189762,  0.660173  -0.339506 0.00166079,-0.0403556   0.130812   0.184462,-0.0112996  -0.224015 0.00170178,0 0 0,0 0 0,0 0 0,0 0 0
0.6, 0.296541 -0.101339  0.521023,  8.84971 -0.374724  -7.57783,0.652615 0.048396 0.191148, 0.660828 -0.339811 2.498e-15,-0.0186943   0.126534   0.185809, -0.0106271   -0.224084 2.72005e-15,0 0 0,0 0 0,0 0 0,0 0 0
0.61, 0.304562 -0.106292  0.509281,  9.72525 -0.375209  -7.91011,  0.67369 0.0388496  0.189762,   0.660828   -0.339811 2.49457e-15,0.00296708   0.122255   0.184462, -0.0106271   -0.224084 2.79147e-15,0 0 0,3.24044 6.67236  26.576,0 0 0,3.07107 5.62481 27.7144
0.62, 0.312619 -0.111176  0.496863,  10.5728 -0.371562  -8.23979,  0.69513 0.0291379  0.185796,   0.660828   -0.339811 2.49457e-15,0.0250033  0.117902  0.180606, -0.0106271   -0.224084 2.79147e-15,0 0 0,11.5216 23.7241 94.5191,0 0 0,10.9194 19.9995  98.568
0.63, 0.320746 -0.115923  0.484075,  11.3643 -0.361991  -8.56425, 0.716779 0.0193318  0.179536,   0.660828   -0.339811 2.49457e-15,0.0472537  0.113507  0.174521, -0.0106271   -0.224084 2.79147e-15,0 0 0,22.6834 46.7071 186.152,0 0 0,21.4978 39.3746 194.126
0.64, 0.328978 -0.120464  0.471222,  12.0719 -0.344704  -8.88084,   0.73848 0.00950216   0.171268,   0.660828   -0.339811 2.49457e-15,0.0695577  0.109102  0.166485, -0.0106271   -0.224084 2.79147e-15,0 0 0,34.5655 71.1733 283.797,0 0 0,32.7589 60.0005 295.955
0.65, 0.337352 -0.124731  0.458608,  12.6676 -0.317911  -9.18694,    0.760076 -0.000280312     0.161281,   0.660828   -0.339811 2.49457e-15,0.0917546  0.104717  0.156776, -0.0106271   -0.224084 2.79147e-15,0 0 0,45.0078 92.6748 369.778,0 0 0,42.6555 78.1277  385.62
0.66, 0.345902 -0.128654  0.446538,  13.1232 -0.279818  -9.47992,   0.781412 -0.00994478     0.14986,   0.660828   -0.339811 2.49457e-15,0.113684 0.100386 0.145674, -0.0106271   -0.224084 2.79147e-15,0 0 0,  51.85 106.763 426.417,0 0 0,49.1403 90.0066 444.687
0.67, 0.354663 -0.132166  0.435318,   13.411 -0.228634  -9.75713,  0.802331 -0.0194204   0.137292,   0.660828   -0.339811 2.49457e-15, 0.135184 0.0961388  0.133457, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3453 109.842 439.398,0 0 0,50.5577 92.6051 458.227
0.68, 0.363671 -0.135197  0.425253,  13.5028 -0.162568  -10.0159,  0.822677 -0.0286365   0.123864,   0.660828   -0.339811 2.49457e-15, 0.156096 0.0920082  0.120404, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3468 109.845 439.999,0 0 0,50.5592   92.61 458.856
0.69,  0.37296 -0.137679  0.416647,   13.3706 -0.0798275   -10.2537,  0.842294 -0.0375222   0.109862,   0.660828   -0.339811 2.49457e-15, 0.176258 0.0880257  0.106794, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3476 109.847 440.359,0 0 0,50.5602 92.6129 459.232
0.7, 0.382566 -0.139544  0.409805,  12.9866 0.0213791  -10.4678,  0.861025 -0.0460066  0.0955739,   0.660828   -0.339811 2.49457e-15,  0.19551  0.084223 0.0929045, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3479 109.847 440.479,0 0 0,50.5605 92.6139 459.358
0.71, 0.392513 -0.140745  0.404932,  12.332 0.142188 -10.6566, 0.878714 -0.054019 0.0812856,   0.660828   -0.339811 2.49457e-15,  0.21369 0.0806319 0.0790153, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3476 109.847 440.359,0 0 0,50.5602 92.6129 459.232
0.72, 0.402777 -0.141328  0.401823, 11.4254 0.281116  -10.822,  0.895204 -0.0614886   0.067284,   0.660828   -0.339811 2.49457e-15, 0.230639  0.077284 0.0654048, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3468 109.845 439.999,0 0 0,50.5592   92.61 458.856
0.73, 0.413323 -0.141363  0.400174, 10.2949 0.436021 -10.9671,   0.91034 -0.0683446  0.0538559,   0.660828   -0.339811 2.49457e-15, 0.246196 0.0742112 0.0523517, -0.0106271   -0.224084 2.79147e-15,0 0 0,53.3453 109.842 439.398,0 0 0,50.5577 92.6051 458.227
0.74, 0.424115 -0.140917  0.399679, 8.96825 0.604766 -11.0949,  0.923965 -0.0745162  0.0412879,   0.660828   -0.339811 2.49457e-15, 0.260199 0.0714452 0.0401347, -0.0106271   -0.224084 2.79147e-15,0 0 0,  51.85 106.763 426.417,0 0 0,49.1403 90.0066 444.687
0.75, 0.435119 -0.140059  0.400034, 7.47356  0.78521 -11.2082,  0.935922 -0.0799325  0.0298668,   0.660828   -0.339811 2.49457e-15, 0.272489 0.0690176 0.0290327, -0.0106271   -0.224084 2.79147e-15,0 0 0,45.0078 92.6748 369.778,0 0 0,42.6555 78.1277  385.62
0.76, 0.446299 -0.138858  0.400933, 5.83872 0.975213 -11.3102,  0.946056 -0.0845229  0.0198794,   0.660828   -0.339811 2.49457e-15, 0.282905 0.0669602 0.0193241, -0.0106271   -0.224084 2.79147e-15,0 0 0,34.5655 71.1733 283.797,0 0 0,32.7589 60.0005 295.955
0.77, 0.457619 -0.137383  0.402072, 4.09169  1.17264 -11.4038,   0.95421 -0.0882164  0.0116122,   0.660828   -0.339811 2.49457e-15, 0.291285 0.0653048 0.0112879, -0.0106271   -0.224084 2.79147e-15,0 0 0,22.6834 46.7071 186.152,0 0 0,21.4978 39.3746 194.126
0.78, 0.469045 -0.135701  0.403145, 2.26043  1.37534 -11.4919,  0.960228 -0.0909422 0.00535214,   0.660828   -0.339811 2.49457e-15,  0.297471  0.0640831 0.00520265, -0.0106271   -0.224084 2.79147e-15,0 0 0,11.5216 23.7241 94.5191,0 0 0,10.9194 19.9995  98.568
0.79, 0.480542 -0.133882  0.403848,0.372878  1.58118 -11.5775,  0.963953 -0.0926297 0.00138582,   0.660828   -0.339811 2.49457e-15,  0.301299  0.0633268 0.00134712, -0.0106271   -0.224084 2.79147e-15,0 0 0,3.24044 6.67236  26.576,0 0 0,3.07107 5.62481 27.7144
